"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"71",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"0.9",1
"72",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"1",0
"73",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0",100
"74",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.4",99
"75",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.5",100
"76",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.6",97
"77",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.7",89
"78",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.8",89
"79",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.9",66
"80",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"1",67
"81",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"0",100
"82",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"0.4",100
"83",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"0.5",100
"84",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"0.6",100
"85",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"0.7",100
"86",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"0.8",100
"87",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"0.9",100
"88",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"1",100
"89",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0",100
"90",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0.4",100
"91",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0.5",100
"92",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0.6",100
"93",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0.7",100
"94",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0.8",100
"95",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0.9",100
"96",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"1",100
"97",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0",100
"98",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.4",97
"99",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.5",84
"100",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.6",64
"101",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.7",46
"102",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.8",12
"103",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.9",2
"104",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"1",5
"105",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0",100
"106",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.4",100
"107",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.5",100
"108",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.6",100
"109",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.7",100
"110",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.8",100
"111",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.9",100
"112",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"1",99
"113",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0",100
"114",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.4",100
"115",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.5",100
"116",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.6",100
"117",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.7",100
"118",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.8",100
"119",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.9",100
"120",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"1",100
"121",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0",100
"122",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.4",66
"123",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.5",46
"124",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.6",11
"125",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.7",3
"126",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.8",0
"127",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.9",0
"128",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"1",0
"129",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0",100
"130",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.4",100
"131",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.5",100
"132",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.6",100
"133",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.7",100
"134",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.8",95
"135",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.9",61
"136",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"1",15
"137",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0",100
"138",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.4",100
"139",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.5",100
"140",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.6",100
"141",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.7",100
"142",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.8",100
"143",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.9",100
"144",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"1",100
"145",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0",69
"146",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.4",31
"147",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.5",32
"148",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.6",21
"149",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.7",11
"150",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.8",9
"151",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.9",5
"152",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"1",3
"153",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0",99
"154",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.4",94
"155",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.5",89
"156",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.6",75
"157",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.7",58
"158",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.8",28
"159",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.9",15
"160",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"1",2
"161",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0",86
"162",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.4",89
"163",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.5",91
"164",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.6",78
"165",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.7",72
"166",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.8",36
"167",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.9",27
"168",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"1",10
"169",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0",73
"170",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.4",17
"171",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.5",12
"172",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.6",3
"173",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.7",1
"174",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.8",0
"175",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.9",0
"176",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"1",0
"177",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0",100
"178",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.4",90
"179",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.5",77
"180",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.6",36
"181",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.7",10
"182",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.8",1
"183",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.9",0
"184",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"1",0
"185",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0",87
"186",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.4",86
"187",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.5",89
"188",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.6",51
"189",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.7",28
"190",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.8",19
"191",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.9",11
"192",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"1",1
"193",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0",69
"194",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.4",9
"195",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.5",2
"196",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.6",1
"197",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.7",0
"198",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.8",0
"199",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.9",0
"200",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"1",0
"201",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0",99
"202",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.4",85
"203",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.5",67
"204",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.6",8
"205",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.7",1
"206",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.8",0
"207",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"0.9",0
"208",0.5,0.000277777777777778,0.01,0.0015,0.01,1,0.75,26,"1",0
"209",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0",89
"210",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.4",81
"211",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.5",70
"212",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.6",38
"213",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.7",37
"214",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.8",13
"215",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"0.9",1
"216",1,0.000277777777777778,0.01,0.0015,0.01,1,0.75,27,"1",0
"217",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0",74
"218",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.4",73
"219",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.5",74
"220",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.6",74
"221",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.7",72
"222",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.8",72
"223",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"0.9",76
"224",0.25,0.00277777777777778,1,0.0015,0.01,1,0.5,28,"1",70
"225",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0",100
"226",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.4",100
"227",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.5",100
"228",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.6",100
"229",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.7",100
"230",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.8",100
"231",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"0.9",100
"232",0.5,0.00277777777777778,1,0.0015,0.01,1,0.5,29,"1",100
"233",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0",86
"234",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.4",84
"235",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.5",90
"236",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.6",88
"237",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.7",88
"238",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.8",88
"239",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"0.9",88
"240",1,0.00277777777777778,1,0.0015,0.01,1,0.5,30,"1",87
"241",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0",77
