dpi,y,group
1,450656.7727101818,control
2,316227.69924668793,control
3,177827.97229357774,control
4,837677.6763497472,control
6,1489624.387467416,control
6,394596.9701109403,control
8,6713.097914870362,control
8,47106.08906404789,control
10,3025.3060221775404,control
10,562.3417011877966,control
13,203.09198419719803,control
13,27.68906185,control
