dpi,y,group
1,65924.63979321321,control
2,46415.91853625913,control
3,14203.031769680034,control
4,9160.197901388648,control
6,2567.5776108813757,control
6,2061.984892403117,control
8,6.309565703435059,control
8,6.038800528399001,control
10,6.888027191290783,control
10,6.888027191290783,control
13,6.309565703435059,control
13,6.038800528399001,control
